Name,Price,Category
Laptop,999.99,Electronics
Coffee Mug,12.5,Kitchen
Running Shoes,89.99,Sports
Wireless Headphones,149.99,Electronics
Desk Chair,199.5,Furniture
Yoga Mat,29.99,Fitness
Blender,79.99,Kitchen
Smart Watch,249.99,Electronics
Novel,14.99,Books
Backpack,59.99,Accessories
LED TV,599.99,Electronics
Coffee Table,129.99,Furniture
Dumbbell Set,89.99,Fitness
Toaster,39.99,Kitchen
Digital Camera,449.99,Electronics
Throw Pillow,19.99,Home Decor
Basketball,24.99,Sports
Air Fryer,119.99,Kitchen
Gaming Console,499.99,Electronics
Wall Clock,34.99,Home Decor
Tennis Racket,79.99,Sports
Cookware Set,199.99,Kitchen
Tablet,329.99,Electronics
Area Rug,159.99,Home Decor
Treadmill,899.99,Fitness
Cutlery Set,49.99,Kitchen
External Hard Drive,89.99,Electronics
Sofa,799.99,Furniture
Jump Rope,12.99,Fitness
Dining Table,499.99,Furniture
Bluetooth Speaker,79.99,Electronics
Bed Sheets,39.99,Home Decor
Football,29.99,Sports
Microwave,129.99,Kitchen
Monitor,199.99,Electronics
Curtains,49.99,Home Decor
Yoga Blocks,19.99,Fitness
Bookshelf,149.99,Furniture
Smartphone,799.99,Electronics
Dinnerware Set,89.99,Kitchen
Desk Lamp,24.99,Home Decor
Baseball Glove,49.99,Sports
Rice Cooker,59.99,Kitchen
Printer,129.99,Electronics
Throw Blanket,29.99,Home Decor
Resistance Bands,24.99,Fitness
Nightstand,79.99,Furniture
E-reader,119.99,Electronics
Mixing Bowls,34.99,Kitchen
Wall Art,59.99,Home Decor
